UF = 11 - Rondônia
Coluna;;CNAE 2.0 Div;Tamanho Estabelecimento
Ano;Escolaridade após 2005;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;Superior Completo;200;154;192;196;175;436;592;1376;399;3720;200;154;192;196;175;436;592;1376;399;3720
;Superior Incompleto;85;49;61;47;86;162;145;86;118;839;85;49;61;47;86;162;145;86;118;839
2019;Total;1432;766;1001;1021;615;1838;2991;3886;3521;17071;1432;766;1001;1021;615;1838;2991;3886;3521;17071
;5ª Completo Fundamental;4;3;1;2;0;16;2;12;1;41;4;3;1;2;0;16;2;12;1;41
;6ª a 9ª Fundamental;15;5;6;12;3;44;25;23;6;139;15;5;6;12;3;44;25;23;6;139
;Analfabeto;3;0;0;0;0;2;1;0;1;7;3;0;0;0;0;2;1;0;1;7
;Até 5ª Incompleto;6;2;2;2;1;38;10;9;11;81;6;2;2;2;1;38;10;9;11;81
;Doutorado;0;0;0;0;0;1;1;9;1;12;0;0;0;0;0;1;1;9;1;12
;Fundamental Completo;43;9;11;14;2;55;74;151;28;387;43;9;11;14;2;55;74;151;28;387
;Mestrado;1;2;0;0;1;1;0;3;2;10;1;2;0;0;1;1;0;3;2;10
;Médio Completo;1044;558;644;742;378;1085;2139;2450;2162;11202;1044;558;644;742;378;1085;2139;2450;2162;11202
;Médio Incompleto;32;12;21;17;15;54;61;48;52;312;32;12;21;17;15;54;61;48;52;312
;Superior Completo;200;139;251;195;158;427;586;1146;1101;4203;200;139;251;195;158;427;586;1146;1101;4203
;Superior Incompleto;84;36;65;37;57;115;92;35;156;677;84;36;65;37;57;115;92;35;156;677
2020;Total;1442;814;919;1249;970;1906;2675;4415;3708;18098;1442;814;919;1249;970;1906;2675;4415;3708;18098
;5ª Completo Fundamental;1;2;3;1;0;5;29;11;1;53;1;2;3;1;0;5;29;11;1;53
;6ª a 9ª Fundamental;21;4;2;7;8;33;26;27;3;131;21;4;2;7;8;33;26;27;3;131
;Analfabeto;2;2;0;11;1;0;1;0;1;18;2;2;0;11;1;0;1;0;1;18
;Até 5ª Incompleto;5;3;2;1;4;16;24;7;9;71;5;3;2;1;4;16;24;7;9;71
;Doutorado;0;0;0;0;0;0;1;9;2;12;0;0;0;0;0;0;1;9;2;12
;Fundamental Completo;37;18;5;14;10;57;70;152;27;390;37;18;5;14;10;57;70;152;27;390
;Mestrado;2;0;0;1;0;1;0;4;4;12;2;0;0;1;0;1;0;4;4;12
;Médio Completo;1069;561;650;861;631;1071;1766;2218;2477;11304;1069;561;650;861;631;1071;1766;2218;2477;11304
;Médio Incompleto;29;16;10;25;11;58;66;56;36;307;29;16;10;25;11;58;66;56;36;307
;Superior Completo;199;153;205;275;237;562;597;1888;979;5095;199;153;205;275;237;562;597;1888;979;5095
;Superior Incompleto;77;55;42;53;68;103;95;43;169;705;77;55;42;53;68;103;95;43;169;705
2021;Total;1548;1054;998;1316;891;2039;3116;3049;5085;19096;1548;1054;998;1316;891;2039;3116;3049;5085;19096
;5ª Completo Fundamental;4;2;2;3;1;3;6;9;1;31;4;2;2;3;1;3;6;9;1;31
;6ª a 9ª Fundamental;13;3;6;6;8;17;36;22;5;116;13;3;6;6;8;17;36;22;5;116
;Analfabeto;3;1;0;1;0;1;0;0;1;7;3;1;0;1;0;1;0;0;1;7
;Até 5ª Incompleto;5;3;1;1;1;11;17;7;6;52;5;3;1;1;1;11;17;7;6;52
;Doutorado;1;0;0;1;0;1;5;7;2;17;1;0;0;1;0;1;5;7;2;17
;Fundamental Completo;42;16;12;6;13;25;133;119;24;390;42;16;12;6;13;25;133;119;24;390
;Mestrado;2;0;1;0;0;8;2;4;4;21;2;0;1;0;0;8;2;4;4;21
;Médio Completo;1137;740;673;960;569;1080;2035;1967;2765;11926;1137;740;673;960;569;1080;2035;1967;2765;11926
;Médio Incompleto;24;17;11;24;10;23;95;47;40;291;24;17;11;24;10;23;95;47;40;291
;Superior Completo;238;196;235;265;219;773;700;851;2083;5560;238;196;235;265;219;773;700;851;2083;5560
;Superior Incompleto;79;76;57;49;70;97;87;16;154;685;79;76;57;49;70;97;87;16;154;685
Total;Total;10341;5681;5823;6978;5823;15218;19606;32211;17835;119516;10341;5681;5823;6978;5823;15218;19606;32211;17835;119516
;5ª Completo Fundamental;19;19;14;13;22;39;56;105;4;291;19;19;14;13;22;39;56;105;4;291
;6ª a 9ª Fundamental;120;38;35;64;76;216;223;361;25;1158;120;38;35;64;76;216;223;361;25;1158
;Analfabeto;12;6;2;14;2;15;2;0;3;56;12;6;2;14;2;15;2;0;3;56
;Até 5ª Incompleto;41;14;14;15;22;95;136;102;33;472;41;14;14;15;22;95;136;102;33;472
;Doutorado;4;1;0;1;0;6;11;34;6;63;4;1;0;1;0;6;11;34;6;63
;Fundamental Completo;299;128;82;73;120;341;568;958;112;2681;299;128;82;73;120;341;568;958;112;2681
;Mestrado;9;12;1;13;3;33;4;24;30;129;9;12;1;13;3;33;4;24;30;129
;Médio Completo;7692;3972;3869;4833;3689;9751;13463;20200;11742;79211;7692;3972;3869;4833;3689;9751;13463;20200;11742;79211
;Médio Incompleto;277;122;107;132;145;411;502;692;199;2587;277;122;107;132;145;411;502;692;199;2587
;Superior Completo;1245;1007;1302;1464;1264;3447;3875;8833;4955;27392;1245;1007;1302;1464;1264;3447;3875;8833;4955;27392
;Superior Incompleto;623;362;397;356;480;864;766;902;726;5476;623;362;397;356;480;864;766;902;726;5476
UF = 14 - Roraima
Coluna;;CNAE 2.0 Div;Tamanho Estabelecimento
Ano;Escolaridade após 2005;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;;De 1 a 4;De 5 a 9;De 10 a 19;De 20 a 49;De 50 a 99;De 100 a 249;De 250 a 499;De 500 a 999;1000 ou Mais;Total;De 1 a 4;De 5 a 9;De 10 a 19;De 20 a 49;De 50 a 99;De 100 a 249;De 250 a 499;De 500 a 999;1000 ou Mais;Total
2015;Total;347;122;149;285;87;341;300;0;0;1631;347;122;149;285;87;341;300;0;0;1631
;5ª Completo Fundamental;2;0;0;0;0;4;0;0;0;6;2;0;0;0;0;4;0;0;0;6
;6ª a 9ª Fundamental;2;1;1;3;1;15;0;0;0;23;2;1;1;3;1;15;0;0;0;23
;Até 5ª Incompleto;4;1;0;1;0;0;2;0;0;8;4;1;0;1;0;0;2;0;0;8
;Fundamental Completo;3;0;4;7;5;18;3;0;0;40;3;0;4;7;5;18;3;0;0;40
;Médio Completo;288;86;116;164;58;219;241;0;0;1172;288;86;116;164;58;219;241;0;0;1172
;Médio Incompleto;7;4;6;7;0;3;4;0;0;31;7;4;6;7;0;3;4;0;0;31
;Superior Completo;31;21;20;86;21;70;50;0;0;299;31;21;20;86;21;70;50;0;0;299
;Superior Incompleto;10;9;2;17;2;12;0;0;0;52;10;9;2;17;2;12;0;0;0;52
2016;Total;329;169;144;289;95;329;300;0;0;1655;329;169;144;289;95;329;300;0;0;1655
;5ª Completo Fundamental;1;1;0;0;0;4;0;0;0;6;1;1;0;0;0;4;0;0;0;6
;6ª a 9ª Fundamental;1;3;0;1;1;12;0;0;0;18;1;3;0;1;1;12;0;0;0;18
;Até 5ª Incompleto;1;1;0;1;0;0;2;0;0;5;1;1;0;1;0;0;2;0;0;5
;Fundamental Completo;3;1;3;6;3;18;3;0;0;37;3;1;3;6;3;18;3;0;0;37
;Médio Completo;262;130;110;162;56;217;237;0;0;1174;262;130;110;162;56;217;237;0;0;1174
;Médio Incompleto;6;3;5;7;0;5;9;0;0;35;6;3;5;7;0;5;9;0;0;35
;Superior Completo;42;22;22;94;34;60;48;0;0;322;42;22;22;94;34;60;48;0;0;322
;Superior Incompleto;13;8;4;18;1;13;1;0;0;58;13;8;4;18;1;13;1;0;0;58
2017;Total;357;192;181;222;189;234;726;0;0;2101;357;192;181;222;189;234;726;0;0;2101
;5ª Completo Fundamental;1;1;0;0;0;3;0;0;0;5;1;1;0;0;0;3;0;0;0;5
;6ª a 9ª Fundamental;0;3;1;2;1;3;26;0;0;36;0;3;1;2;1;3;26;0;0;36
;Analfabeto;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1
;Até 5ª Incompleto;1;1;0;1;0;0;1;0;0;4;1;1;0;1;0;0;1;0;0;4
;Fundamental Completo;5;1;4;5;1;6;30;0;0;52;5;1;4;5;1;6;30;0;0;52
;Médio Completo;291;141;126;109;129;162;479;0;0;1437;291;141;126;109;129;162;479;0;0;1437
;Médio Incompleto;4;8;5;7;0;2;10;0;0;36;4;8;5;7;0;2;10;0;0;36
;Superior Completo;44;27;39;86;55;45;174;0;0;470;44;27;39;86;55;45;174;0;0;470
;Superior Incompleto;11;10;6;12;2;13;6;0;0;60;11;10;6;12;2;13;6;0;0;60
2018;Total;414;192;147;248;52;158;948;0;0;2159;414;192;147;248;52;158;948;0;0;2159
;5ª Completo Fundamental;2;1;0;0;0;1;5;0;0;9;2;1;0;0;0;1;5;0;0;9
;6ª a 9ª Fundamental;2;1;1;1;0;2;25;0;0;32;2;1;1;1;0;2;25;0;0;32
;Até 5ª Incompleto;1;1;0;2;0;0;1;0;0;5;1;1;0;2;0;0;1;0;0;5
;Fundamental Completo;4;0;4;2;0;3;34;0;0;47;4;0;4;2;0;3;34;0;0;47
;Médio Completo;319;148;108;120;34;122;632;0;0;1483;319;148;108;120;34;122;632;0;0;1483
;Médio Incompleto;5;4;2;8;1;2;10;0;0;32;5;4;2;8;1;2;10;0;0;32
;Superior Completo;62;29;30;106;16;28;224;0;0;495;62;29;30;106;16;28;224;0;0;495
;Superior Incompleto;19;8;2;9;1;0;17;0;0;56;19;8;2;9;1;0;17;0;0;56
2019;Total;410;251;159;183;113;612;394;0;0;2122;410;251;159;183;113;612;394;0;0;2122
;5ª Completo Fundamental;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2
;6ª a 9ª Fundamental;1;2;1;1;0;2;18;0;0;25;1;2;1;1;0;2;18;0;0;25
;Analfabeto;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1
;Até 5ª Incompleto;1;0;0;2;0;0;0;0;0;3;1;0;0;2;0;0;0;0;0;3
;Fundamental Completo;7;1;5;4;0;6;24;0;0;47;7;1;5;4;0;6;24;0;0;47
;Médio Completo;319;187;99;82;78;449;230;0;0;1444;319;187;99;82;78;449;230;0;0;1444
;Médio Incompleto;7;2;2;6;1;6;0;0;0;24;7;2;2;6;1;6;0;0;0;24
;Superior Completo;63;46;51;78;29;149;119;0;0;535;63;46;51;78;29;149;119;0;0;535
;Superior Incompleto;12;11;1;10;4;0;3;0;0;41;12;11;1;10;4;0;3;0;0;41
2020;Total;450;243;84;380;71;432;290;0;0;1950;450;243;84;380;71;432;290;0;0;1950
;5ª Completo Fundamental;0;2;1;0;0;0;0;0;0;3;0;2;1;0;0;0;0;0;0;3
;6ª a 9ª Fundamental;1;2;0;1;0;0;0;0;0;4;1;2;0;1;0;0;0;0;0;4
;Analfabeto;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1
;Até 5ª Incompleto;1;1;0;2;0;2;0;0;0;6;1;1;0;2;0;2;0;0;0;6
;Fundamental Completo;3;2;1;7;1;9;1;0;0;24;3;2;1;7;1;9;1;0;0;24
;Médio Completo;347;178;64;208;44;322;197;0;0;1360;347;178;64;208;44;322;197;0;0;1360
;Médio Incompleto;7;4;2;10;0;4;4;0;0;31;7;4;2;10;0;4;4;0;0;31
;Superior Completo;73;43;14;135;24;93;86;0;0;468;73;43;14;135;24;93;86;0;0;468
;Superior Incompleto;17;11;2;17;2;2;2;0;0;53;17;11;2;17;2;2;2;0;0;53
2021;Total;485;271;254;453;85;369;580;0;0;2497;485;271;254;453;85;369;580;0;0;2497
;5ª Completo Fundamental;1;0;2;0;0;0;0;0;0;3;1;0;2;0;0;0;0;0;0;3
;6ª a 9ª Fundamental;2;2;2;1;0;0;2;0;0;9;2;2;2;1;0;0;2;0;0;9
;Analfabeto;1;0;0;0;1;0;0;0;0;2;1;0;0;0;1;0;0;0;0;2
;Até 5ª Incompleto;1;0;2;2;0;2;0;0;0;7;1;0;2;2;0;2;0;0;0;7
;Fundamental Completo;3;2;4;6;0;9;5;0;0;29;3;2;4;6;0;9;5;0;0;29
;Médio Completo;363;201;166;265;53;283;415;0;0;1746;363;201;166;265;53;283;415;0;0;1746
;Médio Incompleto;11;4;15;8;0;2;6;0;0;46;11;4;15;8;0;2;6;0;0;46
;Superior Completo;80;49;50;143;30;73;149;0;0;574;80;49;50;143;30;73;149;0;0;574
;Superior Incompleto;23;13;13;28;1;0;3;0;0;81;23;13;13;28;1;0;3;0;0;81
Total;Total;2792;1440;1118;2060;692;2475;3538;0;0;14115;2792;1440;1118;2060;692;2475;3538;0;0;14115
;5ª Completo Fundamental;7;7;3;0;0;12;5;0;0;34;7;7;3;0;0;12;5;0;0;34
;6ª a 9ª Fundamental;9;14;6;10;3;34;71;0;0;147;9;14;6;10;3;34;71;0;0;147
;Analfabeto;2;0;0;0;3;0;0;0;0;5;2;0;0;0;3;0;0;0;0;5
;Até 5ª Incompleto;10;5;2;11;0;4;6;0;0;38;10;5;2;11;0;4;6;0;0;38
;Fundamental Completo;28;7;25;37;10;69;100;0;0;276;28;7;25;37;10;69;100;0;0;276
;Médio Completo;2189;1071;789;1110;452;1774;2431;0;0;9816;2189;1071;789;1110;452;1774;2431;0;0;9816
;Médio Incompleto;47;29;37;53;2;24;43;0;0;235;47;29;37;53;2;24;43;0;0;235
;Superior Completo;395;237;226;728;209;518;850;0;0;3163;395;237;226;728;209;518;850;0;0;3163
;Superior Incompleto;105;70;30;111;13;40;32;0;0;401;105;70;30;111;13;40;32;0;0;401
UF = 15 - Pará
Coluna;;CNAE 2.0 Div;Tamanho Estabelecimento
Ano;Escolaridade após 2005;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;;De 1 a 4;De 5 a 9;De 10 a 19;De 20 a 49;De 50 a 99;De 100 a 249;De 250 a 499;De 500 a 999;1000 ou Mais;Total;De 1 a 4;De 5 a 9;De 10 a 19;De 20 a 49;De 50 a 99;De 100 a 249;De 250 a 499;De 500 a 999;1000 ou Mais;Total
2015;Total;3351;2226;2256;2564;2247;4424;5913;4690;7938;35609;3351;2226;2256;2564;2247;4424;5913;4690;7938;35609
;5ª Completo Fundamental;12;19;17;20;18;26;15;38;27;192;12;19;17;20;18;26;15;38;27;192
;6ª a 9ª Fundamental;39;40;24;51;39;87;118;106;110;614;39;40;24;51;39;87;118;106;110;614
;Analfabeto;0;5;0;5;1;3;1;1;5;21;0;5;0;5;1;3;1;1;5;21
;Até 5ª Incompleto;19;16;21;14;18;37;16;39;39;219;19;16;21;14;18;37;16;39;39;219
;Doutorado;0;2;0;1;0;1;1;0;2;7;0;2;0;1;0;1;1;0;2;7
;Fundamental Completo;130;102;113;169;84;209;222;336;611;1976;130;102;113;169;84;209;222;336;611;1976
;Mestrado;2;0;1;5;1;4;2;7;13;35;2;0;1;5;1;4;2;7;13;35
;Médio Completo;2641;1549;1554;1638;1517;3009;3859;2870;4540;23177;2641;1549;1554;1638;1517;3009;3859;2870;4540;23177
;Médio Incompleto;130;109;111;113;100;195;275;190;232;1455;130;109;111;113;100;195;275;190;232;1455
;Superior Completo;239;328;364;488;359;732;1271;1007;2274;7062;239;328;364;488;359;732;1271;1007;2274;7062
;Superior Incompleto;139;56;51;60;110;121;133;96;85;851;139;56;51;60;110;121;133;96;85;851
2016;Total;3397;2432;2307;2485;2461;4329;6249;3577;9127;36364;3397;2432;2307;2485;2461;4329;6249;3577;9127;36364
;5ª Completo Fundamental;16;16;21;22;12;22;19;0;34;162;16;16;21;22;12;22;19;0;34;162
;6ª a 9ª Fundamental;39;32;20;46;36;78;124;47;137;559;39;32;20;46;36;78;124;47;137;559
;Analfabeto;1;2;0;4;0;2;2;0;4;15;1;2;0;4;0;2;2;0;4;15
;Até 5ª Incompleto;21;10;20;12;20;24;17;8;48;180;21;10;20;12;20;24;17;8;48;180
;Doutorado;1;3;0;1;0;1;1;2;0;9;1;3;0;1;0;1;1;2;0;9
;Fundamental Completo;123;109;113;153;108;192;244;68;629;1739;123;109;113;153;108;192;244;68;629;1739
;Mestrado;2;2;2;4;5;2;3;12;1;33;2;2;2;4;5;2;3;12;1;33
;Médio Completo;2682;1657;1555;1556;1654;2965;4033;2081;5388;23571;2682;1657;1555;1556;1654;2965;4033;2081;5388;23571
;Médio Incompleto;122;114;125;100;129;193;281;137;232;1433;122;114;125;100;129;193;281;137;232;1433
;Superior Completo;267;426;387;524;399;741;1382;1149;2556;7831;267;426;387;524;399;741;1382;1149;2556;7831
;Superior Incompleto;123;61;64;63;98;109;143;73;98;832;123;61;64;63;98;109;143;73;98;832
2017;Total;3574;2626;2412;2286;2316;3990;6370;4195;12174;39943;3574;2626;2412;2286;2316;3990;6370;4195;12174;39943
;5ª Completo Fundamental;22;9;13;21;8;24;27;0;40;164;22;9;13;21;8;24;27;0;40;164
;6ª a 9ª Fundamental;36;25;21;54;29;138;123;42;132;600;36;25;21;54;29;138;123;42;132;600
;Analfabeto;1;3;1;7;0;1;2;0;2;17;1;3;1;7;0;1;2;0;2;17
;Até 5ª Incompleto;13;14;13;15;9;21;15;10;57;167;13;14;13;15;9;21;15;10;57;167
;Doutorado;1;1;1;3;0;2;2;3;0;13;1;1;1;3;0;2;2;3;0;13
;Fundamental Completo;121;87;116;120;81;171;248;72;585;1601;121;87;116;120;81;171;248;72;585;1601
;Mestrado;2;2;2;2;5;7;9;14;27;70;2;2;2;2;5;7;9;14;27;70
;Médio Completo;2779;1829;1659;1484;1503;2652;4049;2487;7000;25442;2779;1829;1659;1484;1503;2652;4049;2487;7000;25442
;Médio Incompleto;132;94;93;96;125;156;279;194;239;1408;132;94;93;96;125;156;279;194;239;1408
;Superior Completo;330;483;431;419;434;712;1453;1309;3905;9476;330;483;431;419;434;712;1453;1309;3905;9476
;Superior Incompleto;137;79;62;65;122;106;163;64;187;985;137;79;62;65;122;106;163;64;187;985
2018;Total;3804;2554;2480;2693;2361;4799;6206;2420;13603;40920;3804;2554;2480;2693;2361;4799;6206;2420;13603;40920
;5ª Completo Fundamental;24;9;12;23;10;19;21;1;32;151;24;9;12;23;10;19;21;1;32;151
;6ª a 9ª Fundamental;34;28;14;64;32;225;130;7;120;654;34;28;14;64;32;225;130;7;120;654
;Analfabeto;4;1;0;6;0;2;4;0;5;22;4;1;0;6;0;2;4;0;5;22
;Até 5ª Incompleto;9;17;13;31;9;28;26;11;36;180;9;17;13;31;9;28;26;11;36;180
;Doutorado;2;0;1;7;1;1;2;4;1;19;2;0;1;7;1;1;2;4;1;19
;Fundamental Completo;138;88;94;111;92;220;210;39;569;1561;138;88;94;111;92;220;210;39;569;1561
;Mestrado;1;6;2;10;4;15;10;18;26;92;1;6;2;10;4;15;10;18;26;92
;Médio Completo;2904;1818;1764;1713;1445;3272;3953;1426;8018;26313;2904;1818;1764;1713;1445;3272;3953;1426;8018;26313
;Médio Incompleto;111;87;79;111;115;151;247;130;272;1303;111;87;79;111;115;151;247;130;272;1303
;Superior Completo;399;420;437;539;561;744;1428;743;4344;9615;399;420;437;539;561;744;1428;743;4344;9615
;Superior Incompleto;178;80;64;78;92;122;175;41;180;1010;178;80;64;78;92;122;175;41;180;1010
2019;Total;3826;2596;2592;2509;2650;4909;6653;3813;12697;42245;3826;2596;2592;2509;2650;4909;6653;3813;12697;42245
;5ª Completo Fundamental;15;7;16;14;8;18;20;5;31;134;15;7;16;14;8;18;20;5;31;134
;6ª a 9ª Fundamental;26;24;31;39;41;68;127;20;111;487;26;24;31;39;41;68;127;20;111;487
;Analfabeto;5;5;4;2;0;5;2;0;5;28;5;5;4;2;0;5;2;0;5;28
;Até 5ª Incompleto;10;14;16;22;8;51;29;13;29;192;10;14;16;22;8;51;29;13;29;192
;Doutorado;1;0;0;14;1;1;2;5;1;25;1;0;0;14;1;1;2;5;1;25
;Fundamental Completo;116;96;101;82;115;213;212;87;566;1588;116;96;101;82;115;213;212;87;566;1588
;Mestrado;2;3;2;6;9;17;12;18;25;94;2;3;2;6;9;17;12;18;25;94
;Médio Completo;2921;1848;1831;1652;1595;3314;4248;2365;7358;27132;2921;1848;1831;1652;1595;3314;4248;2365;7358;27132
;Médio Incompleto;108;73;77;85;157;137;261;90;215;1203;108;73;77;85;157;137;261;90;215;1203
;Superior Completo;435;436;427;513;618;928;1544;1171;4188;10260;435;436;427;513;618;928;1544;1171;4188;10260
;Superior Incompleto;187;90;87;80;98;157;196;39;168;1102;187;90;87;80;98;157;196;39;168;1102
2020;Total;3850;2758;2488;3115;2649;5595;8016;3389;16661;48521;3850;2758;2488;3115;2649;5595;8016;3389;16661;48521
;5ª Completo Fundamental;15;9;8;15;6;20;24;18;25;140;15;9;8;15;6;20;24;18;25;140
;6ª a 9ª Fundamental;35;15;31;39;26;78;112;25;116;477;35;15;31;39;26;78;112;25;116;477
;Analfabeto;7;5;2;2;2;7;3;545;6;579;7;5;2;2;2;7;3;545;6;579
;Até 5ª Incompleto;16;8;13;17;6;38;39;22;26;185;16;8;13;17;6;38;39;22;26;185
;Doutorado;0;0;0;0;8;0;3;0;1;12;0;0;0;0;8;0;3;0;1;12
;Fundamental Completo;108;86;69;83;107;278;211;117;618;1677;108;86;69;83;107;278;211;117;618;1677
;Mestrado;0;2;2;0;23;20;12;0;26;85;0;2;2;0;23;20;12;0;26;85
;Médio Completo;2925;1951;1767;2107;1728;3654;5224;1733;10153;31242;2925;1951;1767;2107;1728;3654;5224;1733;10153;31242
;Médio Incompleto;89;85;72;88;147;141;283;72;250;1227;89;85;72;88;147;141;283;72;250;1227
;Superior Completo;474;499;439;660;505;1187;1853;799;5264;11680;474;499;439;660;505;1187;1853;799;5264;11680
;Superior Incompleto;181;98;85;104;91;172;252;58;176;1217;181;98;85;104;91;172;252;58;176;1217
2021;Total;4286;3198;2786;3561;2802;6228;9519;2686;15112;50178;4286;3198;2786;3561;2802;6228;9519;2686;15112;50178
;5ª Completo Fundamental;9;13;11;13;5;21;36;5;22;135;9;13;11;13;5;21;36;5;22;135
;6ª a 9ª Fundamental;36;29;30;35;29;72;114;10;98;453;36;29;30;35;29;72;114;10;98;453
;Analfabeto;6;12;2;4;2;5;3;0;4;38;6;12;2;4;2;5;3;0;4;38
;Até 5ª Incompleto;14;10;16;15;18;50;31;3;22;179;14;10;16;15;18;50;31;3;22;179
;Doutorado;1;0;1;0;36;0;2;0;1;41;1;0;1;0;36;0;2;0;1;41
;Fundamental Completo;131;81;75;98;73;250;339;74;577;1698;131;81;75;98;73;250;339;74;577;1698
;Mestrado;3;2;4;3;11;21;10;3;27;84;3;2;4;3;11;21;10;3;27;84
;Médio Completo;3268;2311;1943;2356;1795;4073;6177;1718;9053;32694;3268;2311;1943;2356;1795;4073;6177;1718;9053;32694
;Médio Incompleto;114;87;79;91;90;180;275;46;227;1189;114;87;79;91;90;180;275;46;227;1189
;Superior Completo;514;524;531;819;627;1331;2267;754;4914;12281;514;524;531;819;627;1331;2267;754;4914;12281
;Superior Incompleto;190;129;94;127;116;225;265;73;167;1386;190;129;94;127;116;225;265;73;167;1386
Total;Total;26088;18390;17321;19213;17486;34274;48926;24770;87312;293780;26088;18390;17321;19213;17486;34274;48926;24770;87312;293780
;5ª Completo Fundamental;113;82;98;128;67;150;162;67;211;1078;113;82;98;128;67;150;162;67;211;1078
;6ª a 9ª Fundamental;245;193;171;328;232;746;848;257;824;3844;245;193;171;328;232;746;848;257;824;3844
;Analfabeto;24;33;9;30;5;25;17;546;31;720;24;33;9;30;5;25;17;546;31;720
;Até 5ª Incompleto;102;89;112;126;88;249;173;106;257;1302;102;89;112;126;88;249;173;106;257;1302
;Doutorado;6;6;3;26;46;6;13;14;6;126;6;6;3;26;46;6;13;14;6;126
;Fundamental Completo;867;649;681;816;660;1533;1686;793;4155;11840;867;649;681;816;660;1533;1686;793;4155;11840
;Mestrado;12;17;15;30;58;86;58;72;145;493;12;17;15;30;58;86;58;72;145;493
;Médio Completo;20120;12963;12073;12506;11237;22939;31543;14680;51510;189571;20120;12963;12073;12506;11237;22939;31543;14680;51510;189571
;Médio Incompleto;806;649;636;684;863;1153;1901;859;1667;9218;806;649;636;684;863;1153;1901;859;1667;9218
;Superior Completo;2658;3116;3016;3962;3503;6375;11198;6932;27445;68205;2658;3116;3016;3962;3503;6375;11198;6932;27445;68205
;Superior Incompleto;1135;593;507;577;727;1012;1327;444;1061;7383;1135;593;507;577;727;1012;1327;444;1061;7383
UF = 16 - Amapá
Coluna;;CNAE 2.0 Div;Tamanho Estabelecimento
Ano;Escolaridade após 2005;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;;De 1 a 4;De 5 a 9;De 10 a 19;De 20 a 49;De 50 a 99;De 100 a 249;De 250 a 499;De 500 a 999;1000 ou Mais;Total;De 1 a 4;De 5 a 9;De 10 a 19;De 20 a 49;De 50 a 99;De 100 a 249;De 250 a 499;De 500 a 999;1000 ou Mais;Total
2015;Total;359;182;235;294;51;0;0;933;0;2054;359;182;235;294;51;0;0;933;0;2054
;5ª Completo Fundamental;2;1;1;1;1;0;0;6;0;12;2;1;1;1;1;0;0;6;0;12
;6ª a 9ª Fundamental;1;0;3;1;0;0;0;17;0;22;1;0;3;1;0;0;0;17;0;22
